43 - Women’s share of government ministerial positions

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Women’s share of government ministerial positions,Developed regions,616,Poland,2014,Female,27.78,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,620,Portugal,2014,Female,28.57,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,642,Romania,2014,Female,14.29,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,643,Russian Federation,2014,Female,6.45,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,674,San Marino,2014,Female,11.11,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,688,Serbia,2014,Female,22.22,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,703,Slovakia,2014,Female,0,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,705,Slovenia,2014,Female,43.75,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,724,Spain,2014,Female,30.77,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,752,Sweden,2014,Female,52.17,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,756,Switzerland,2014,Female,42.86,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,804,Ukraine,2014,Female,10.53,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,807,North Macedonia,2014,Female,8,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,2014,Female,22.73,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Developed regions,840,United States of America,2014,Female,26.09,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Northern Africa,12,Algeria,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Northern Africa,504,Morocco,2014,Female,15.79,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Northern Africa,788,Tunisia,2014,Female,10.53,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Northern Africa,818,Egypt,2014,Female,11.76,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,90,Solomon Islands,2014,Female,4.35,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,242,Fiji,2014,Female,13.33,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,296,Kiribati,2014,Female,21.43,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,520,Nauru,2014,Female,16.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,548,Vanuatu,2014,Female,0,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,583,Micronesia (Federated States of),2014,Female,25,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,584,Marshall Islands,2014,Female,10,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,585,Palau,2014,Female,12.5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,598,Papua New Guinea,2014,Female,3.13,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,776,Tonga,2014,Female,0,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,798,Tuvalu,2014,Female,14.29,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Oceania,882,Samoa,2014,Female,7.69,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,24,Angola,2014,Female,22.22,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,72,Botswana,2014,Female,12.5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,108,Burundi,2014,Female,34.78,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,120,Cameroon,2014,Female,14,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,132,Cabo Verde,2014,Female,52.94,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,140,Central African Republic,2014,Female,24.14,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,148,Chad,2014,Female,13.64,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,174,Comoros,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,178,Congo,2014,Female,10.53,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,180,Democratic Republic of the Congo,2014,Female,8.11,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,204,Benin,2014,Female,14.81,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,226,Equatorial Guinea,2014,Female,8.7,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,231,Ethiopia,2014,Female,12.5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,232,Eritrea,2014,Female,16.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,262,Djibouti,2014,Female,5.26,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,266,Gabon,2014,Female,12.5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,270,Gambia,2014,Female,21.05,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,288,Ghana,2014,Female,23.08,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,324,Guinea,2014,Female,14.71,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,384,Côte d'Ivoire,2014,Female,16.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,404,Kenya,2014,Female,30,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,426,Lesotho,2014,Female,21.74,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,430,Liberia,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,450,Madagascar,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,454,Malawi,2014,Female,11.11,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,466,Mali,2014,Female,16.13,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,478,Mauritania,2014,Female,26.92,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,480,Mauritius,2014,Female,12,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,508,Mozambique,2014,Female,28.57,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,516,Namibia,2014,Female,21.74,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,562,Niger,2014,Female,12.9,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,566,Nigeria,2014,Female,24.14,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,624,Guinea-Bissau,2014,Female,31.25,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,646,Rwanda,2014,Female,35.48,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,678,Sao Tome and Principe,2014,Female,7.69,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,686,Senegal,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,690,Seychelles,2014,Female,25,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,694,Sierra Leone,2014,Female,6.9,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,706,Somalia,2014,Female,8,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,710,South Africa,2014,Female,41.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,716,Zimbabwe,2014,Female,11.54,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,728,South Sudan,2014,Female,22.73,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,729,Sudan,2014,Female,15.15,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,748,Swaziland,2014,Female,26.32,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,768,Togo,2014,Female,20.69,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,800,Uganda,2014,Female,29.63,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,834,United Republic of Tanzania,2014,Female,32.26,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,854,Burkina Faso,2014,Female,12.5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Sub-Saharan Africa,894,Zambia,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,28,Antigua and Barbuda,2014,Female,7.69,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,32,Argentina,2014,Female,22.22,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,44,Bahamas,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,52,Barbados,2014,Female,11.76,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,68,Bolivia (Plurinational State of),2014,Female,28.57,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,76,Brazil,2014,Female,15.38,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,84,Belize,2014,Female,13.33,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,152,Chile,2014,Female,34.78,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,170,Colombia,2014,Female,29.41,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,188,Costa Rica,2014,Female,40.91,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,192,Cuba,2014,Female,31.03,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,212,Dominica,2014,Female,25,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,214,Dominican Republic,2014,Female,19.23,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,218,Ecuador,2014,Female,23.68,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,222,El Salvador,2014,Female,21.43,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,308,Grenada,2014,Female,46.15,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,320,Guatemala,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,328,Guyana,2014,Female,29.41,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,332,Haiti,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,340,Honduras,2014,Female,17.39,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,388,Jamaica,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,484,Mexico,2014,Female,17.65,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,558,Nicaragua,2014,Female,47.06,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,591,Panama,2014,Female,27.78,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,600,Paraguay,2014,Female,7.69,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,604,Peru,2014,Female,22.22,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,659,Saint Kitts and Nevis,2014,Female,12.5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,662,Saint Lucia,2014,Female,15.38,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,670,Saint Vincent and the Grenadines,2014,Female,9.09,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,740,Suriname,2014,Female,5.56,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,780,Trinidad and Tobago,2014,Female,9.68,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,858,Uruguay,2014,Female,14.29,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Latin America and the Caribbean,862,Venezuela (Bolivarian Republic of),2014,Female,23.33,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Caucasus and Central Asia,31,Azerbaijan,2014,Female,2.5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Caucasus and Central Asia,51,Armenia,2014,Female,11.11,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Caucasus and Central Asia,268,Georgia,2014,Female,15.79,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Caucasus and Central Asia,398,Kazakhstan,2014,Female,13.33,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Caucasus and Central Asia,417,Kyrgyzstan,2014,Female,15,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Caucasus and Central Asia,762,Tajikistan,2014,Female,11.11,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Caucasus and Central Asia,795,Turkmenistan,2014,Female,5.71,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Caucasus and Central Asia,860,Uzbekistan,2014,Female,10.53,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,48,Bahrain,2014,Female,4.55,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,368,Iraq,2014,Female,6.06,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,400,Jordan,2014,Female,11.11,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,414,Kuwait,2014,Female,6.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,422,Lebanon,2014,Female,4.35,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,512,Oman,2014,Female,6.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,634,Qatar,2014,Female,5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,682,Saudi Arabia,2014,Female,0,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,760,Syrian Arab Republic,2014,Female,5.88,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,784,United Arab Emirates,2014,Female,16.67,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,792,Turkey,2014,Female,4,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Western Asia,887,Yemen,2014,Female,9.68,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,96,Brunei Darussalam,2014,Female,0,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,104,Myanmar,2014,Female,5.26,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,116,Cambodia,2014,Female,6.98,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,360,Indonesia,2014,Female,22.86,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,418,Lao People's Democratic Republic,2014,Female,10.34,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,458,Malaysia,2014,Female,5.71,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,608,Philippines,2014,Female,20,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,626,Timor-Leste,2014,Female,12.5,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,702,Singapore,2014,Female,5.56,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,704,Viet Nam,2014,Female,9.09,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,South-eastern Asia,764,Thailand,2014,Female,4.17,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Eastern Asia,156,China,2014,Female,11.54,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Eastern Asia,410,Republic of Korea,2014,Female,5.88,-,-,Country data,National,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Eastern Asia,496,Mongolia,2014,Female,11.11,-,-,Country data,National,-,-,-,-,-,-,-
